External ID,Issue Type,Summary,Description,Parent External ID,BA Path
CUS-15,Story,Phát hành nội dung để đồng bộ đúng phiên bản tới booth,"**Mục tiêu:** Đưa bảng giá, màu và khung đã duyệt đến đúng nhóm booth và biết máy nào đã áp dụng.

**Phạm vi:**
* Phát hành: Tạo deployment có ID.
* Dừng phân phối tiếp: Không giả định thu hồi những gì đã áp dụng.
* Quay về version trước: Tạo deployment mới có audit.

**Nghiệm thu:**
* Given booth đang phục vụ; When bundle mới tải xong; Then đợi điểm chuyển an toàn trước áp dụng.
* Given tải thiếu asset; When kiểm tra bundle; Then bản cũ vẫn active.
* Given hai booth offline; When publish thành công ở server; Then hai booth đó vẫn hiển thị pending.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-09, D-13.
**Phụ thuộc:** SVC-05, SVC-04.
**BA:** docs/ba/screens/cus-15.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-05,docs/ba/screens/cus-15.md
CUS-16,Story,Tra cứu phiên chụp để theo dõi doanh thu và giao file,"**Mục tiêu:** Theo dõi hoạt động kinh doanh của booth và trạng thái fulfillment mà không nhầm với phí trả FotoAutomat.

**Phạm vi:**
* Xem chi tiết: Hiện timeline và trạng thái đối soát.
* Xuất báo cáo: Phạm vi đúng tenant/khoảng thời gian; dữ liệu nhạy cảm theo policy.

**Nghiệm thu:**
* Given cùng session được sync hai lần; When lập báo cáo; Then không cộng doanh thu hai lần.
* Given booth chưa đồng bộ hết kỳ; When xem tổng; Then hiển thị cảnh báo dữ liệu chưa đầy đủ.
* Given role chỉ xem báo cáo; When yêu cầu file ảnh; Then bị từ chối nếu không có quyền riêng.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-04, D-10, D-14.
**Phụ thuộc:** SVC-04, SVC-07, SVC-09.
**BA:** docs/ba/screens/cus-16.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/cus-16.md
CUS-17,Story,Phân quyền thành viên để giới hạn truy cập theo vai trò,"**Mục tiêu:** Cấp quyền đúng người cho booth, nội dung và billing.

**Phạm vi:**
* Mời thành viên: Gửi lời mời theo quy trình được duyệt.
* Đổi/thu hồi quyền: Xác nhận tác động, áp dụng ở server.

**Nghiệm thu:**
* Given operator không có quyền billing; When gọi API đổi thuê bao; Then bị từ chối.
* Given chỉ còn một owner; When thu hồi owner đó; Then yêu cầu chuyển quyền trước.
* Given quyền bị thu hồi; When phiên web cũ thao tác nhạy cảm; Then server kiểm tra lại và từ chối.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05.
**Phụ thuộc:** SVC-10.
**BA:** docs/ba/screens/cus-17.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/screens/cus-17.md
CUS-18,Story,Theo dõi yêu cầu hỗ trợ để xử lý sự cố có căn cứ,"**Mục tiêu:** Gửi và theo dõi yêu cầu liên quan booth, phiên hoặc giao dịch dịch vụ.

**Phạm vi:**
* Gửi yêu cầu: Tạo request ID duy nhất.
* Gửi diagnostic: Upload dữ liệu đã lọc theo policy.

**Nghiệm thu:**
* Given cùng request được gửi lại; When retry; Then không tạo yêu cầu trùng ngoài ý muốn.
* Given diagnostic chứa dữ liệu cấm theo policy; When upload; Then bị loại/chặn và thông báo.
* Given ticket đã tạo; When support xem; Then quyền tài nguyên vẫn được kiểm tra riêng.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-10, D-12.
**Phụ thuộc:** SVC-04, SVC-10.
**BA:** docs/ba/screens/cus-18.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/cus-18.md
OPS-01,Story,Giám sát fleet để phát hiện booth mất liên lạc hoặc lỗi,"**Mục tiêu:** Theo dõi độ phủ phiên bản, sức khỏe và các booth mất liên lạc trên toàn hệ thống.

**Phạm vi:**
* Mở booth: Hiện chi tiết với nhãn tenant rõ.
* Lọc phiên bản lỗi: Tạo tập xem, chưa gửi lệnh hàng loạt.

**Nghiệm thu:**
* Given chỉ có tài khoản khách hàng; When mở Ops; Then không được xem fleet toàn hệ thống.
* Given rollout target đã đặt nhưng máy chưa báo version; When tính coverage; Then máy chưa được tính là đã nâng cấp.
* Given heartbeat quá ngưỡng; When hiển thị; Then có last seen và nhãn mất liên lạc.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-14.
**Phụ thuộc:** SVC-04, SVC-10.
**BA:** docs/ba/screens/ops-01.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/ops-01.md
OPS-02,Story,Tổng hợp hồ sơ khách hàng để hỗ trợ đúng tổ chức,"**Mục tiêu:** Xem quan hệ giữa tổ chức, người quản trị, booth và sản phẩm đã mua.

**Phạm vi:**
* Xem quyền/booth: Đi đến tài nguyên đúng tenant.
* Đề xuất thay đổi hồ sơ: Ghi audit và không sửa chứng từ đã phát hành.

**Nghiệm thu:**
* Given hai tổ chức cùng tên; When chọn hồ sơ; Then mã tenant được hiển thị để phân biệt.
* Given nhân viên support không có quyền billing; When thao tác giao dịch; Then bị từ chối.
* Given license và payment lệch trạng thái; When mở hồ sơ; Then hiện cần đối soát thay tự cấp/thu hồi.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-05, D-12.
**Phụ thuộc:** SVC-01, SVC-02, SVC-10.
**BA:** docs/ba/screens/ops-02.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/ops-02.md
OPS-03,Story,Điều chỉnh quyền sử dụng để thực thi chính sách thương mại,"**Mục tiêu:** Cấp, điều chỉnh hoặc thu hồi quyền theo quyết định thương mại có thể truy vết.

**Phạm vi:**
* Cấp/gia hạn/thu hồi: Review tác động rồi tạo thay đổi có audit.
* Ngoại lệ offline: Quyền có phạm vi/thời hạn xác định, không hardcode vĩnh viễn.

**Nghiệm thu:**
* Given staff không có quyền thu hồi; When gửi lệnh; Then bị từ chối và không đổi entitlement.
* Given ngoại lệ được cấp; When xem audit; Then có actor, reason, hiệu lực và giá trị trước/sau.
* Given booth chưa nhận thay đổi; When xem kết quả; Then không hiện đã áp dụng tại thiết bị.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-02, D-03, D-05.
**Phụ thuộc:** SVC-02, SVC-10.
**BA:** docs/ba/screens/ops-03.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/ops-03.md
OPS-04,Story,Quản lý release để phân phối bộ cài đã được kiểm chứng,"**Mục tiêu:** Đăng ký bản phần mềm hợp lệ và điều kiện phân phối trước khi triển khai.

**Phạm vi:**
* Đăng ký release: Upload/đăng ký artifact chưa phát hành.
* Cho phép rollout: Release vào danh sách chọn của OPS-05.
* Thu hồi phân phối: Chặn cấp mới; không tự gỡ app đang chạy.

**Nghiệm thu:**
* Given chữ ký không hợp lệ; When yêu cầu phát hành; Then release không đủ điều kiện.
* Given một version đã đăng ký; When thay artifact; Then phải tạo release mới hoặc bị từ chối.
* Given schema không hỗ trợ downgrade; When xem release; Then UI không hứa rollback tự động.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-11, D-13.
**Phụ thuộc:** SVC-06, SVC-10.
**BA:** docs/ba/screens/ops-04.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-06,docs/ba/screens/ops-04.md
OPS-05,Story,Triển khai cập nhật theo đợt để hạn chế ảnh hưởng toàn fleet,"**Mục tiêu:** Cập nhật nhiều booth theo nhóm và dừng khi có dấu hiệu lỗi.

**Phạm vi:**
* Khởi chạy: Tạo rollout có ID và cohort.
* Tạm dừng: Dừng cấp lệnh tiếp theo; không cắt cài đặt đang ở bước nguy hiểm.
* Rollback: Review rồi tạo rollout riêng.

**Nghiệm thu:**
* Given booth đang có phiên trả tiền; When nhận update; Then hoãn cài đến điểm an toàn.
* Given cohort chưa đạt health gate; When mở rộng; Then bị chặn theo policy.
* Given rollback không tương thích schema; When yêu cầu; Then hệ thống từ chối tự động hạ bản.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-03, D-13, D-14.
**Phụ thuộc:** SVC-04, SVC-06.
**BA:** docs/ba/screens/ops-05.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-06,docs/ba/screens/ops-05.md
OPS-06,Story,Đối soát lệnh từ xa để xử lý kết quả chưa xác định,"**Mục tiêu:** Đối soát yêu cầu và trạng thái thực thi ở booth, xử lý sự cố không rõ kết quả.

**Phạm vi:**
* Tạo lệnh cho phép: Review tác động; cấp ID mới.
* Đóng sự cố: Ghi audit, không sửa nguyên bản sự kiện.
* Thử lại: Không retry mù lệnh có tác dụng tiền/in.

**Nghiệm thu:**
* Given command hết TTL; When booth nhận muộn; Then từ chối thực thi.
* Given ack kết quả in mất; When support mở incident; Then không có tự động reprint.
* Given tạo command; When xem audit; Then có actor, tenant, target, lý do và correlation ID.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-13.
**Phụ thuộc:** SVC-04, SVC-09, SVC-10.
**BA:** docs/ba/screens/ops-06.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/ops-06.md
OPS-07,Story,Đối soát billing và usage để tránh ghi phí sai,"**Mục tiêu:** Giải quyết lệch trạng thái giữa thanh toán, quyền sử dụng và usage của khách hàng.

**Phạm vi:**
* Đối soát order: Tra cứu provider và hệ thống nội bộ.
* Điều chỉnh/hoàn: Tạo giao dịch điều chỉnh, chờ xác nhận kết quả.

**Nghiệm thu:**
* Given webhook thanh toán lặp; When đối soát; Then không tạo doanh thu dịch vụ trùng.
* Given điều chỉnh đã gửi nhưng timeout; When thao tác lại; Then dùng cùng định danh để không hoàn hai lần.
* Given staff support thường; When yêu cầu refund; Then bị từ chối.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-09, D-12.
**Phụ thuộc:** SVC-03, SVC-08, SVC-10.
**BA:** docs/ba/screens/ops-07.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/ops-07.md
OPS-08,Story,Tra cứu audit để truy vết thay đổi trên hệ thống,"**Mục tiêu:** Truy vết ai đã thay đổi quyền, nội dung, thiết bị hoặc phiên bản và trong phạm vi nào.

**Phạm vi:**
* Lọc/xem: Chỉ phạm vi được phép.
* Xuất: Bản xuất có phạm vi rõ và được ghi audit.

**Nghiệm thu:**
* Given đổi license; When xem audit; Then thấy actor, lý do, đối tượng và thay đổi trước/sau.
* Given booth sync sự kiện muộn; When hiển thị; Then phân biệt thời gian tại booth và thời gian nhận.
* Given token nhạy cảm trong nguồn; When ghi audit; Then không lộ token nguyên văn.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-10.
**Phụ thuộc:** SVC-10.
**BA:** docs/ba/screens/ops-08.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/screens/ops-08.md
DL-01,Story,Xác minh QR để thông báo tình trạng bộ ảnh,"**Mục tiêu:** Biết bộ ảnh đã sẵn sàng, đang chờ hay không còn truy cập được.

**Phạm vi:**
* Mở bộ ảnh: Mở DL-02.
* Kiểm tra lại: Đọc trạng thái có giới hạn tần suất.

**Nghiệm thu:**
* Given token hợp lệ nhưng file pending; When mở link; Then thấy trạng thái chờ và không được tải file chưa có.
* Given token hết hạn; When yêu cầu file trực tiếp; Then cũng bị từ chối.
* Given sửa session ID trong URL; When truy cập; Then không xem được ảnh phiên khác.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-06, D-10.
**Phụ thuộc:** SVC-07.
**BA:** docs/ba/screens/dl-01.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-07,docs/ba/screens/dl-01.md
DL-02,Story,Cung cấp gallery để khách tải đúng file được cấp quyền,"**Mục tiêu:** Tải đúng ảnh được cấp quyền bằng UI phù hợp điện thoại.

**Phạm vi:**
* Tải file: Cấp truy cập đúng file.
* Tải tất cả: Không tạo archive không giới hạn gây quá tải.

**Nghiệm thu:**
* Given token chỉ cho session A; When yêu cầu file B; Then server từ chối.
* Given một file chưa sẵn sàng; When mở gallery; Then không gắn nhãn mọi file đã tải được.
* Given truy cập trên màn hình điện thoại; When chọn tải; Then CTA không bị che và tên/định dạng file rõ.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-06, D-10.
**Phụ thuộc:** SVC-07.
**BA:** docs/ba/screens/dl-02.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-07,docs/ba/screens/dl-02.md
SVC-01,Task,Đăng ký thiết bị để ràng buộc booth với tổ chức và seat,"**Mục tiêu/phạm vi:** Cấp danh tính thiết bị và mã kích hoạt có thời hạn. Xử lý request lặp, chuyển/thu hồi seat và đối soát trạng thái đăng ký.

**Nghiệm thu:**
* Kích hoạt lặp cùng request không tạo thêm booth hoặc chiếm thêm seat.
* Thiết bị không thể tự đổi tenant bằng dữ liệu phía client.
* Chuyển seat giữ lịch sử thiết bị cũ và tuân thủ policy đã duyệt.

**Cần chốt:** D-02, D-05.
**BA:** docs/ba/services/svc-01.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/services/svc-01.md
SVC-02,Task,"Quản lý quyền sử dụng để hỗ trợ thuê, vĩnh viễn và offline","**Mục tiêu/phạm vi:** Tách entitlement desktop, seat, cập nhật và dịch vụ cloud. Phát hành quyền local có thể xác minh và xử lý gia hạn/thu hồi theo policy.

**Nghiệm thu:**
* Hết hạn cloud không tự hủy quyền desktop vĩnh viễn ngoài điều khoản đã duyệt.
* Phiên đã trả tiền được xử lý theo chính sách gián đoạn đã thống nhất.
* Quy tắc offline, thay đổi đồng hồ và thời hạn xác minh có kịch bản kiểm thử.

**Cần chốt:** D-01, D-02, D-03.
**BA:** docs/ba/services/svc-02.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/services/svc-02.md
SVC-03,Task,Đối soát thanh toán để cấp quyền và ghi phí chính xác,"**Mục tiêu/phạm vi:** Xử lý quote, order, provider events, chứng từ và điều chỉnh. Liên kết billing với entitlement và metering bằng định danh ổn định.

**Nghiệm thu:**
* Callback lặp hoặc đến sai thứ tự không cấp quyền/ghi phí trùng.
* Redirect phía browser không tự chuyển đơn thành đã thanh toán.
* Thu tiền thành công nhưng cấp quyền lỗi có trạng thái và quy trình phục hồi.

**Cần chốt:** D-01, D-12.
**BA:** docs/ba/services/svc-03.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/services/svc-03.md
SVC-04,Task,Theo dõi heartbeat và lệnh để biết trạng thái thực của booth,"**Mục tiêu/phạm vi:** Nhận telemetry theo device identity; lưu thời gian xảy ra và thời gian nhận. Quản lý command ID, thời hạn, acknowledgement và kết quả.

**Nghiệm thu:**
* Mọi trạng thái sức khỏe đều có lần quan sát gần nhất.
* Queued, received và succeeded là các trạng thái khác nhau.
* Lệnh hết hạn không được thực thi muộn; retry không tạo side effect trùng.

**Cần chốt:** D-05, D-13, D-14.
**BA:** docs/ba/services/svc-04.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/services/svc-04.md
SVC-05,Task,Đồng bộ nội dung có phiên bản để booth dùng dữ liệu nhất quán,"**Mục tiêu/phạm vi:** Tạo manifest cho recipe, frame và bảng giá; xác minh tài nguyên trước áp dụng. Theo dõi desired/reported và giữ phiên bản cũ khi tải thất bại.

**Nghiệm thu:**
* Thiếu asset hoặc checksum sai không thay active bundle.
* Phiên đang chạy giữ snapshot nội dung và giá.
* Booth offline không bị báo đã áp dụng bundle mới.

**Cần chốt:** D-09, D-13.
**BA:** docs/ba/services/svc-05.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-05,docs/ba/services/svc-05.md
SVC-06,Task,Cập nhật booth an toàn để triển khai phiên bản trên toàn fleet,"**Mục tiêu/phạm vi:** Xác minh gói phần mềm và metadata tương thích. Thực thi khi idle, theo dõi health và khôi phục trong phạm vi schema cho phép.

**Nghiệm thu:**
* Gói không hợp lệ không được cài.
* Không restart giữa phiên đã trả tiền.
* Rollback bị chặn khi phiên bản cũ không đọc được dữ liệu hiện tại.

**Cần chốt:** D-03, D-11, D-13.
**BA:** docs/ba/services/svc-06.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-06,docs/ba/services/svc-06.md
SVC-07,Task,Xếp hàng giao file để tiếp tục phục vụ khi mất mạng,"**Mục tiêu/phạm vi:** Lưu công việc upload bền vững, retry có kiểm soát và cấp quyền download. Áp dụng retention, thu hồi link và kiểm tra quyền trên từng file.

**Nghiệm thu:**
* Restart không làm mất công việc upload chưa hoàn tất.
* Chỉ báo file sẵn sàng sau khi publish thành công.
* Token không cho tải ảnh tenant hoặc phiên khác; hết hạn được kiểm tra phía server.

**Cần chốt:** D-06, D-10.
**BA:** docs/ba/services/svc-07.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-07,docs/ba/services/svc-07.md
SVC-08,Task,Xử lý AI và đo usage để cung cấp dịch vụ có phí minh bạch,"**Mục tiêu/phạm vi:** Quản lý AI jobs, quota và kết quả recipe có thể chạy local. Phân biệt reserved/consumed/refunded theo chính sách được chọn.

**Nghiệm thu:**
* Retry cùng yêu cầu không tính phí hai lần.
* Kết quả recipe không tương thích local renderer không được publish.
* Job lỗi/hủy có cách quyết toán usage đã duyệt và test được.

**Cần chốt:** D-09, D-11, D-12.
**BA:** docs/ba/services/svc-08.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-05,docs/ba/services/svc-08.md
SVC-09,Task,Điều phối thiết bị và phục hồi phiên để tránh mất tiền hoặc in trùng,"**Mục tiêu/phạm vi:** Tích hợp adapter thật sau hardware proof; lưu intent và bằng chứng phiên. Điều phối camera, bộ nhận tiền, xử lý ảnh và printer bằng trạng thái bền vững.

**Nghiệm thu:**
* Mất điện ở các bước nhận tiền/chụp/in có quy trình khôi phục kiểm chứng.
* Print unknown không tự gửi lại.
* Luồng local được kiểm thử không Internet trên cấu hình booth đại diện.

**Cần chốt:** D-04, D-07, D-08, D-11.
**BA:** docs/ba/services/svc-09.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/services/svc-09.md
SVC-10,Task,Cô lập dữ liệu và ghi audit để bảo vệ từng khách hàng,"**Mục tiêu/phạm vi:** Kiểm tra tenant/role ở server cho mọi tài nguyên và thao tác. Ghi audit có actor, target, lý do, correlation và lọc thông tin nhạy cảm.

**Nghiệm thu:**
* Thay ID tenant/resource trong request không vượt quyền.
* Thu hồi quyền có hiệu lực với thao tác nhạy cảm của phiên cũ.
* Audit không chứa token, activation secret hoặc ảnh khách nguyên bản.

**Cần chốt:** D-05, D-10.
**BA:** docs/ba/services/svc-10.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/services/svc-10.md
